term_str,bing_positive,bing_negative,bing_sentiment
applaud,1,0,1
appreciable,1,0,1
appreciate,1,0,1
appreciated,1,0,1
appreciates,1,0,1
appreciative,1,0,1
appreciatively,1,0,1
apprehension,0,1,-1
apprehensions,0,1,-1
apprehensive,0,1,-1
apprehensively,0,1,-1
appropriate,1,0,1
approval,1,0,1
approve,1,0,1
arbitrary,0,1,-1
arcane,0,1,-1
archaic,0,1,-1
ardent,1,0,1
ardently,1,0,1
ardor,1,0,1
arduous,0,1,-1
arduously,0,1,-1
argumentative,0,1,-1
arrogance,0,1,-1
arrogant,0,1,-1
arrogantly,0,1,-1
articulate,1,0,1
ashamed,0,1,-1
asinine,0,1,-1
asininely,0,1,-1
asinininity,0,1,-1
askance,0,1,-1
asperse,0,1,-1
aspersion,0,1,-1
aspersions,0,1,-1
aspiration,1,0,1
aspirations,1,0,1
aspire,1,0,1
assail,0,1,-1
assassin,0,1,-1
assassinate,0,1,-1
assault,0,1,-1
assult,0,1,-1
assurance,1,0,1
assurances,1,0,1
assure,1,0,1
assuredly,1,0,1
assuring,1,0,1
astonish,1,0,1
astonished,1,0,1
astonishing,1,0,1
astonishingly,1,0,1
astonishment,1,0,1
astound,1,0,1
astounded,1,0,1
astounding,1,0,1
astoundingly,1,0,1
astray,0,1,-1
astutely,1,0,1
asunder,0,1,-1
atrocious,0,1,-1
atrocities,0,1,-1
atrocity,0,1,-1
atrophy,0,1,-1
attack,0,1,-1
attacks,0,1,-1
attentive,1,0,1
attraction,1,0,1
attractive,1,0,1
attractively,1,0,1
attune,1,0,1
audacious,0,1,-1
audaciously,0,1,-1
audaciousness,0,1,-1
audacity,0,1,-1
audible,1,0,1
audibly,1,0,1
audiciously,0,1,-1
auspicious,1,0,1
austere,0,1,-1
authentic,1,0,1
authoritarian,0,1,-1
authoritative,1,0,1
autocrat,0,1,-1
autocratic,0,1,-1
autonomous,1,0,1
available,1,0,1
avalanche,0,1,-1
avarice,0,1,-1
avaricious,0,1,-1
avariciously,0,1,-1
avenge,0,1,-1
aver,1,0,1
averse,0,1,-1
aversion,0,1,-1
avid,1,0,1
avidly,1,0,1
award,1,0,1
awarded,1,0,1
awards,1,0,1
awe,1,0,1
awed,1,0,1
aweful,0,1,-1
awesome,1,0,1
awesomely,1,0,1
awesomeness,1,0,1
awestruck,1,0,1
awful,0,1,-1
awfully,0,1,-1
awfulness,0,1,-1
awkward,0,1,-1
awkwardness,0,1,-1
awsome,1,0,1
ax,0,1,-1
babble,0,1,-1
back-logged,0,1,-1
back-wood,0,1,-1
back-woods,0,1,-1
backache,0,1,-1
backaches,0,1,-1
backaching,0,1,-1
backbite,0,1,-1
backbiting,0,1,-1
backbone,1,0,1
backward,0,1,-1
backwardness,0,1,-1
backwood,0,1,-1
backwoods,0,1,-1
bad,0,1,-1
badly,0,1,-1
baffle,0,1,-1
baffled,0,1,-1
bafflement,0,1,-1
baffling,0,1,-1
bait,0,1,-1
balanced,1,0,1
balk,0,1,-1
banal,0,1,-1
banalize,0,1,-1
bane,0,1,-1
banish,0,1,-1
banishment,0,1,-1
bankrupt,0,1,-1
barbarian,0,1,-1
barbaric,0,1,-1
barbarically,0,1,-1
barbarity,0,1,-1
barbarous,0,1,-1
barbarously,0,1,-1
bargain,1,0,1
barren,0,1,-1
baseless,0,1,-1
bash,0,1,-1
bashed,0,1,-1
bashful,0,1,-1
bashing,0,1,-1
bastard,0,1,-1
bastards,0,1,-1
battered,0,1,-1
battering,0,1,-1
batty,0,1,-1
bearish,0,1,-1
beastly,0,1,-1
beauteous,1,0,1
beautiful,1,0,1
beautifullly,1,0,1
beautifully,1,0,1
beautify,1,0,1
beauty,1,0,1
beckon,1,0,1
beckoned,1,0,1
beckoning,1,0,1
beckons,1,0,1
bedlam,0,1,-1
bedlamite,0,1,-1
befoul,0,1,-1
beg,0,1,-1
beggar,0,1,-1
beggarly,0,1,-1
begging,0,1,-1
beguile,0,1,-1
belabor,0,1,-1
belated,0,1,-1
beleaguer,0,1,-1
belie,0,1,-1
believable,1,0,1
believeable,1,0,1
belittle,0,1,-1
belittled,0,1,-1
belittling,0,1,-1
bellicose,0,1,-1
belligerence,0,1,-1
belligerent,0,1,-1
belligerently,0,1,-1
beloved,1,0,1
bemoan,0,1,-1
bemoaning,0,1,-1
bemused,0,1,-1
benefactor,1,0,1
beneficent,1,0,1
beneficial,1,0,1
beneficially,1,0,1
beneficiary,1,0,1
benefit,1,0,1
benefits,1,0,1
benevolence,1,0,1
benevolent,1,0,1
benifits,1,0,1
bent,0,1,-1
berate,0,1,-1
bereave,0,1,-1
bereavement,0,1,-1
bereft,0,1,-1
berserk,0,1,-1
beseech,0,1,-1
beset,0,1,-1
besiege,0,1,-1
besmirch,0,1,-1
best,1,0,1
best-known,1,0,1
best-performing,1,0,1
best-selling,1,0,1
bestial,0,1,-1
betray,0,1,-1
betrayal,0,1,-1
betrayals,0,1,-1
betrayer,0,1,-1
betraying,0,1,-1
betrays,0,1,-1
better,1,0,1
better-known,1,0,1
better-than-expected,1,0,1
beutifully,1,0,1
bewail,0,1,-1
beware,0,1,-1
bewilder,0,1,-1
bewildered,0,1,-1
bewildering,0,1,-1
bewilderingly,0,1,-1
bewilderment,0,1,-1
bewitch,0,1,-1
bias,0,1,-1
biased,0,1,-1
biases,0,1,-1
bicker,0,1,-1
bickering,0,1,-1
bid-rigging,0,1,-1
bigotries,0,1,-1
bigotry,0,1,-1
bitch,0,1,-1
bitchy,0,1,-1
biting,0,1,-1
bitingly,0,1,-1
bitter,0,1,-1
bitterly,0,1,-1
bitterness,0,1,-1
bizarre,0,1,-1
blab,0,1,-1
blabber,0,1,-1
blackmail,0,1,-1
blah,0,1,-1
blame,0,1,-1
blameless,1,0,1
blameworthy,0,1,-1
bland,0,1,-1
blandish,0,1,-1
blaspheme,0,1,-1
blasphemous,0,1,-1
blasphemy,0,1,-1
blasted,0,1,-1
blatant,0,1,-1
blatantly,0,1,-1
blather,0,1,-1
bleak,0,1,-1
bleakly,0,1,-1
bleakness,0,1,-1
bleed,0,1,-1
bleeding,0,1,-1
bleeds,0,1,-1
blemish,0,1,-1
bless,1,0,1
blessing,1,0,1
blind,0,1,-1
blinding,0,1,-1
blindingly,0,1,-1
blindside,0,1,-1
bliss,1,0,1
blissful,1,0,1
blissfully,1,0,1
blister,0,1,-1
blistering,0,1,-1
blithe,1,0,1
bloated,0,1,-1
blockage,0,1,-1
blockbuster,1,0,1
blockhead,0,1,-1
bloodshed,0,1,-1
bloodthirsty,0,1,-1
bloody,0,1,-1
bloom,1,0,1
blossom,1,0,1
blotchy,0,1,-1
blow,0,1,-1
blunder,0,1,-1
blundering,0,1,-1
blunders,0,1,-1
blunt,0,1,-1
blur,0,1,-1
bluring,0,1,-1
blurred,0,1,-1
blurring,0,1,-1
blurry,0,1,-1
blurs,0,1,-1
blurt,0,1,-1
boastful,0,1,-1
boggle,0,1,-1
bogus,0,1,-1
boil,0,1,-1
boiling,0,1,-1
boisterous,0,1,-1
bolster,1,0,1
bomb,0,1,-1
bombard,0,1,-1
bombardment,0,1,-1
bombastic,0,1,-1
bondage,0,1,-1
bonkers,0,1,-1
bonny,1,0,1
bonus,1,0,1
bonuses,1,0,1
boom,1,0,1
booming,1,0,1
boost,1,0,1
bore,0,1,-1
bored,0,1,-1
boredom,0,1,-1
bores,0,1,-1
boring,0,1,-1
botch,0,1,-1
bother,0,1,-1
bothered,0,1,-1
bothering,0,1,-1
bothers,0,1,-1
bothersome,0,1,-1
boundless,1,0,1
bountiful,1,0,1
bowdlerize,0,1,-1
boycott,0,1,-1
braggart,0,1,-1
bragger,0,1,-1
brainiest,1,0,1
brainless,0,1,-1
brainwash,0,1,-1
brainy,1,0,1
brand-new,1,0,1
brash,0,1,-1
brashly,0,1,-1
brashness,0,1,-1
brat,0,1,-1
bravado,0,1,-1
brave,1,0,1
bravery,1,0,1
bravo,1,0,1
brazen,0,1,-1
brazenly,0,1,-1
brazenness,0,1,-1
breach,0,1,-1
break,0,1,-1
break-up,0,1,-1
break-ups,0,1,-1
breakdown,0,1,-1
breaking,0,1,-1
breaks,0,1,-1
breakthrough,1,0,1
breakthroughs,1,0,1
breakup,0,1,-1
breakups,0,1,-1
breathlessness,1,0,1
breathtaking,1,0,1
breathtakingly,1,0,1
breeze,1,0,1
bribery,0,1,-1
bright,1,0,1
brighten,1,0,1
brighter,1,0,1
brightest,1,0,1
brilliance,1,0,1
brilliances,1,0,1
brilliant,1,0,1
brilliantly,1,0,1
brimstone,0,1,-1
brisk,1,0,1
bristle,0,1,-1
brittle,0,1,-1
broke,0,1,-1
broken,0,1,-1
broken-hearted,0,1,-1
brood,0,1,-1
brotherly,1,0,1
browbeat,0,1,-1
bruise,0,1,-1
bruised,0,1,-1
bruises,0,1,-1
bruising,0,1,-1
brusque,0,1,-1
brutal,0,1,-1
brutalising,0,1,-1
brutalities,0,1,-1
brutality,0,1,-1
brutalize,0,1,-1
brutalizing,0,1,-1
brutally,0,1,-1
brute,0,1,-1
brutish,0,1,-1
bs,0,1,-1
buckle,0,1,-1
bug,0,1,-1
bugging,0,1,-1
buggy,0,1,-1
bugs,0,1,-1
bulkier,0,1,-1
bulkiness,0,1,-1
bulky,0,1,-1
bulkyness,0,1,-1
bull****,0,1,-1
bull----,0,1,-1
bullies,0,1,-1
bullish,1,0,1
bullshit,0,1,-1
bullshyt,0,1,-1
bully,0,1,-1
bullying,0,1,-1
bullyingly,0,1,-1
bum,0,1,-1
bump,0,1,-1
bumped,0,1,-1
bumping,0,1,-1
bumpping,0,1,-1
bumps,0,1,-1
bumpy,0,1,-1
bungle,0,1,-1
bungler,0,1,-1
bungling,0,1,-1
bunk,0,1,-1
buoyant,1,0,1
burden,0,1,-1
burdensome,0,1,-1
burdensomely,0,1,-1
burn,0,1,-1
burned,0,1,-1
burning,0,1,-1
burns,0,1,-1
bust,0,1,-1
busts,0,1,-1
busybody,0,1,-1
butcher,0,1,-1
butchery,0,1,-1
buzzing,0,1,-1
byzantine,0,1,-1
cackle,0,1,-1
cajole,1,0,1
calamities,0,1,-1
calamitous,0,1,-1
calamitously,0,1,-1
calamity,0,1,-1
callous,0,1,-1
calm,1,0,1
calming,1,0,1
calmness,1,0,1
calumniate,0,1,-1
calumniation,0,1,-1
calumnies,0,1,-1
calumnious,0,1,-1
calumniously,0,1,-1
calumny,0,1,-1
cancer,0,1,-1
cancerous,0,1,-1
cannibal,0,1,-1
cannibalize,0,1,-1
capability,1,0,1
capable,1,0,1
capably,1,0,1
capitulate,0,1,-1
capricious,0,1,-1
capriciously,0,1,-1
capriciousness,0,1,-1
capsize,0,1,-1
captivate,1,0,1
captivating,1,0,1
carefree,1,0,1
careless,0,1,-1
carelessness,0,1,-1
caricature,0,1,-1
carnage,0,1,-1
carp,0,1,-1
cartoonish,0,1,-1
cash-strapped,0,1,-1
cashback,1,0,1
cashbacks,1,0,1
castigate,0,1,-1
castrated,0,1,-1
casualty,0,1,-1
cataclysm,0,1,-1
cataclysmal,0,1,-1
cataclysmic,0,1,-1
cataclysmically,0,1,-1
catastrophe,0,1,-1
catastrophes,0,1,-1
catastrophic,0,1,-1
catastrophically,0,1,-1
catastrophies,0,1,-1
catchy,1,0,1
caustic,0,1,-1
caustically,0,1,-1
cautionary,0,1,-1
cave,0,1,-1
celebrate,1,0,1
celebrated,1,0,1
celebration,1,0,1
celebratory,1,0,1
censure,0,1,-1
chafe,0,1,-1
chaff,0,1,-1
chagrin,0,1,-1
challenging,0,1,-1
champ,1,0,1
champion,1,0,1
chaos,0,1,-1
chaotic,0,1,-1
charisma,1,0,1
charismatic,1,0,1
charitable,1,0,1
charm,1,0,1
charming,1,0,1
charmingly,1,0,1
chaste,1,0,1
chasten,0,1,-1
chastise,0,1,-1
chastisement,0,1,-1
chatter,0,1,-1
chatterbox,0,1,-1
cheap,0,1,-1
cheapen,0,1,-1
cheaper,1,0,1
cheapest,1,0,1
cheaply,0,1,-1
cheat,0,1,-1
cheated,0,1,-1
cheater,0,1,-1
cheating,0,1,-1
cheats,0,1,-1
checkered,0,1,-1
cheer,1,0,1
cheerful,1,0,1
cheerless,0,1,-1
cheery,1,0,1
cheesy,0,1,-1
cherish,1,0,1
cherished,1,0,1
cherub,1,0,1
chic,1,0,1
chide,0,1,-1
childish,0,1,-1
chill,0,1,-1
chilly,0,1,-1
chintzy,0,1,-1
chivalrous,1,0,1
chivalry,1,0,1
choke,0,1,-1
choleric,0,1,-1
choppy,0,1,-1
chore,0,1,-1
chronic,0,1,-1
chunky,0,1,-1
civility,1,0,1
civilize,1,0,1
clamor,0,1,-1
clamorous,0,1,-1
clarity,1,0,1
clash,0,1,-1
classic,1,0,1
classy,1,0,1
clean,1,0,1
cleaner,1,0,1
cleanest,1,0,1
cleanliness,1,0,1
cleanly,1,0,1
clear,1,0,1
clear-cut,1,0,1
cleared,1,0,1
clearer,1,0,1
clearly,1,0,1
clears,1,0,1
clever,1,0,1
cleverly,1,0,1
cliche,0,1,-1
cliched,0,1,-1
clique,0,1,-1
clog,0,1,-1
clogged,0,1,-1
clogs,0,1,-1
cloud,0,1,-1
clouding,0,1,-1
cloudy,0,1,-1
clueless,0,1,-1
clumsy,0,1,-1
clunky,0,1,-1
coarse,0,1,-1
cocky,0,1,-1
coerce,0,1,-1
coercion,0,1,-1
coercive,0,1,-1
cohere,1,0,1
coherence,1,0,1
coherent,1,0,1
cohesive,1,0,1
cold,0,1,-1
coldly,0,1,-1
collapse,0,1,-1
collude,0,1,-1
collusion,0,1,-1
colorful,1,0,1
combative,0,1,-1
combust,0,1,-1
comely,1,0,1
comfort,1,0,1
comfortable,1,0,1
comfortably,1,0,1
comforting,1,0,1
comfy,1,0,1
comical,0,1,-1
commend,1,0,1
commendable,1,0,1
commendably,1,0,1
commiserate,0,1,-1
commitment,1,0,1
commodious,1,0,1
commonplace,0,1,-1
commotion,0,1,-1
commotions,0,1,-1
compact,1,0,1
compactly,1,0,1
compassion,1,0,1
compassionate,1,0,1
compatible,1,0,1
competitive,1,0,1
complacent,0,1,-1
complain,0,1,-1
complained,0,1,-1
complaining,0,1,-1
complains,0,1,-1
complaint,0,1,-1
complaints,0,1,-1
complement,1,0,1
complementary,1,0,1
complemented,1,0,1
complements,1,0,1
complex,0,1,-1
compliant,1,0,1
complicated,0,1,-1
complication,0,1,-1
complicit,0,1,-1
compliment,1,0,1
complimentary,1,0,1
comprehensive,1,0,1
compulsion,0,1,-1
compulsive,0,1,-1
concede,0,1,-1
conceded,0,1,-1
conceit,0,1,-1
conceited,0,1,-1
concen,0,1,-1
concens,0,1,-1
concern,0,1,-1
concerned,0,1,-1
concerns,0,1,-1
concession,0,1,-1
concessions,0,1,-1
conciliate,1,0,1
conciliatory,1,0,1
concise,1,0,1
condemn,0,1,-1
condemnable,0,1,-1
condemnation,0,1,-1
condemned,0,1,-1
condemns,0,1,-1
condescend,0,1,-1
condescending,0,1,-1
condescendingly,0,1,-1
condescension,0,1,-1
confess,0,1,-1
confession,0,1,-1
confessions,0,1,-1
confidence,1,0,1
confident,1,0,1
confined,0,1,-1
conflict,0,1,-1
conflicted,0,1,-1
conflicting,0,1,-1
conflicts,0,1,-1
confound,0,1,-1
confounded,0,1,-1
confounding,0,1,-1
confront,0,1,-1
confrontation,0,1,-1
confrontational,0,1,-1
confuse,0,1,-1
confused,0,1,-1
confuses,0,1,-1
confusing,0,1,-1
confusion,0,1,-1
confusions,0,1,-1
congenial,1,0,1
congested,0,1,-1
congestion,0,1,-1
congratulate,1,0,1
congratulation,1,0,1
congratulations,1,0,1
congratulatory,1,0,1
cons,0,1,-1
conscientious,1,0,1
conscons,0,1,-1
conservative,0,1,-1
considerate,1,0,1
consistent,1,0,1
consistently,1,0,1
conspicuous,0,1,-1
conspicuously,0,1,-1
conspiracies,0,1,-1
conspiracy,0,1,-1
conspirator,0,1,-1
conspiratorial,0,1,-1
conspire,0,1,-1
consternation,0,1,-1
constructive,1,0,1
consummate,1,0,1
contagious,0,1,-1
contaminate,0,1,-1
contaminated,0,1,-1
contaminates,0,1,-1
contaminating,0,1,-1
contamination,0,1,-1
contempt,0,1,-1
contemptible,0,1,-1
contemptuous,0,1,-1
contemptuously,0,1,-1
contend,0,1,-1
contention,0,1,-1
contentious,0,1,-1
contentment,1,0,1
continuity,1,0,1
contort,0,1,-1
contortions,0,1,-1
contradict,0,1,-1
contradiction,0,1,-1
contradictory,0,1,-1
contrariness,0,1,-1
contrasty,1,0,1
contravene,0,1,-1
contribution,1,0,1
contrive,0,1,-1
contrived,0,1,-1
controversial,0,1,-1
controversy,0,1,-1
convenience,1,0,1
convenient,1,0,1
conveniently,1,0,1
convience,1,0,1
convienient,1,0,1
convient,1,0,1
convincing,1,0,1
convincingly,1,0,1
convoluted,0,1,-1
cool,1,0,1
coolest,1,0,1
cooperative,1,0,1
cooperatively,1,0,1
cornerstone,1,0,1
correct,1,0,1
correctly,1,0,1
corrode,0,1,-1
corrosion,0,1,-1
corrosions,0,1,-1
corrosive,0,1,-1
corrupt,0,1,-1
corrupted,0,1,-1
corrupting,0,1,-1
corruption,0,1,-1
corrupts,0,1,-1
corruptted,0,1,-1
cost-effective,1,0,1
cost-saving,1,0,1
costlier,0,1,-1
costly,0,1,-1
counter-attack,1,0,1
counter-attacks,1,0,1
counter-productive,0,1,-1
counterproductive,0,1,-1
coupists,0,1,-1
courage,1,0,1
courageous,1,0,1
courageously,1,0,1
courageousness,1,0,1
courteous,1,0,1
courtly,1,0,1
covenant,1,0,1
covetous,0,1,-1
coward,0,1,-1
cowardly,0,1,-1
cozy,1,0,1
crabby,0,1,-1
crack,0,1,-1
cracked,0,1,-1
cracks,0,1,-1
craftily,0,1,-1
craftly,0,1,-1
crafty,0,1,-1
cramp,0,1,-1
cramped,0,1,-1
cramping,0,1,-1
cranky,0,1,-1
crap,0,1,-1
crappy,0,1,-1
craps,0,1,-1
crash,0,1,-1
crashed,0,1,-1
crashes,0,1,-1
crashing,0,1,-1
crass,0,1,-1
craven,0,1,-1
cravenly,0,1,-1
craze,0,1,-1
crazily,0,1,-1
craziness,0,1,-1
crazy,0,1,-1
creak,0,1,-1
creaking,0,1,-1
creaks,0,1,-1
creative,1,0,1
credence,1,0,1
credible,1,0,1
credulous,0,1,-1
creep,0,1,-1
creeping,0,1,-1
creeps,0,1,-1
creepy,0,1,-1
crept,0,1,-1
crime,0,1,-1
criminal,0,1,-1
cringe,0,1,-1
cringed,0,1,-1
cringes,0,1,-1
cripple,0,1,-1
crippled,0,1,-1
cripples,0,1,-1
crippling,0,1,-1
crisis,0,1,-1
crisp,1,0,1
crisper,1,0,1
critic,0,1,-1
critical,0,1,-1
criticism,0,1,-1
criticisms,0,1,-1
criticize,0,1,-1
criticized,0,1,-1
criticizing,0,1,-1
critics,0,1,-1
cronyism,0,1,-1
crook,0,1,-1
crooked,0,1,-1
crooks,0,1,-1
crowded,0,1,-1
crowdedness,0,1,-1
crude,0,1,-1
cruel,0,1,-1
crueler,0,1,-1
cruelest,0,1,-1
cruelly,0,1,-1
cruelness,0,1,-1
cruelties,0,1,-1
cruelty,0,1,-1
crumble,0,1,-1
crumbling,0,1,-1
crummy,0,1,-1
crumple,0,1,-1
crumpled,0,1,-1
crumples,0,1,-1
crush,0,1,-1
crushed,0,1,-1
crushing,0,1,-1
cry,0,1,-1
culpable,0,1,-1
culprit,0,1,-1
cumbersome,0,1,-1
cunt,0,1,-1
cunts,0,1,-1
cuplrit,0,1,-1
cure,1,0,1
cure-all,1,0,1
curse,0,1,-1
cursed,0,1,-1
curses,0,1,-1
curt,0,1,-1
cushy,1,0,1
cuss,0,1,-1
cussed,0,1,-1
cute,1,0,1
cuteness,1,0,1
cutthroat,0,1,-1
cynical,0,1,-1
cynicism,0,1,-1
d*mn,0,1,-1
damage,0,1,-1
damaged,0,1,-1
damages,0,1,-1
damaging,0,1,-1
damn,0,1,-1
damnable,0,1,-1
damnably,0,1,-1
damnation,0,1,-1
damned,0,1,-1
damning,0,1,-1
damper,0,1,-1
danger,0,1,-1
dangerous,0,1,-1
dangerousness,0,1,-1
danke,1,0,1
danken,1,0,1
daring,1,0,1
daringly,1,0,1
dark,0,1,-1
darken,0,1,-1
darkened,0,1,-1
darker,0,1,-1
darkness,0,1,-1
darling,1,0,1
dashing,1,0,1
dastard,0,1,-1
dastardly,0,1,-1
daunt,0,1,-1
daunting,0,1,-1
dauntingly,0,1,-1
dauntless,1,0,1
dawdle,0,1,-1
dawn,1,0,1
daze,0,1,-1
dazed,0,1,-1
dazzle,1,0,1
dazzled,1,0,1
dazzling,1,0,1
dead,0,1,-1
dead-cheap,1,0,1
dead-on,1,0,1
deadbeat,0,1,-1
deadlock,0,1,-1
deadly,0,1,-1
deadweight,0,1,-1
deaf,0,1,-1
dearth,0,1,-1
death,0,1,-1
debacle,0,1,-1
debase,0,1,-1
debasement,0,1,-1
debaser,0,1,-1
debatable,0,1,-1
debauch,0,1,-1
debaucher,0,1,-1
debauchery,0,1,-1
debilitate,0,1,-1
debilitating,0,1,-1
debility,0,1,-1
debt,0,1,-1
debts,0,1,-1
decadence,0,1,-1
decadent,0,1,-1
decay,0,1,-1
decayed,0,1,-1
deceit,0,1,-1
deceitful,0,1,-1
deceitfully,0,1,-1
deceitfulness,0,1,-1
deceive,0,1,-1
deceiver,0,1,-1
deceivers,0,1,-1
deceiving,0,1,-1
decency,1,0,1
decent,1,0,1
